id,Company,TypeName,Inches,touchscreen,cpu_brand,cpu_name,cpu_speed,ram,secondar_storage,primary_storage,memory_type,gpu_brand,gpu_name,OpSys,weight,Price,ppi,touchscreen_cat
1,Apple,Ultrabook,13.3,0,Intel,Core i5,2.3,8,0,128.0,SSD,Intel, Iris Plus Graphics 640,macos,1.4,71379.0,202.37276851499232,Non-touch
2,Apple,Ultrabook,13.3,0,Intel,Core i5,1.8,8,0,128.0,Flash Storage,Intel, HD Graphics 6000,macos,1.3,47896.0,127.67794013309688,Non-touch
3,HP,Ultrabook,13.3,0,Intel,Core i7,2.7,8,0,256.0,SSD,Nvidia, GeForce MX150,windows,1.4,59620.0,165.6321180513006,Non-touch
4,HP,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,,1.9,30636.0,141.21199808219862,Non-touch
5,Apple,Ultrabook,15.4,0,Intel,Core i7,2.7,16,0,512.0,SSD,AMD, Radeon Pro 455,macos,1.8,135195.0,202.37276851499232,Non-touch
6,Apple,Ultrabook,13.3,0,Intel,Core i5,3.1,8,0,256.0,SSD,Intel, Iris Plus Graphics 650,macos,1.4,96096.0,202.37276851499232,Non-touch
7,Microsoft,Ultrabook,13.5,1,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.3,71395.0,200.84255993695703,Touchscreen
8,Acer,Notebook,15.6,0,AMD,A9-Series 9420,3.0,4,0,500.0,HDD,AMD, Radeon R5,windows,2.1,21312.0,100.45466986113651,Non-touch
9,HP,Notebook,14.0,0,Intel,Core i5,2.5,6,0,256.0,SSD,Nvidia, GeForce 940MX,windows,1.6,35112.0,157.3505121487356,Non-touch
10,Apple,Ultrabook,15.4,0,Intel,Core i7,2.2,16,0,256.0,Flash Storage,Intel, Iris Pro Graphics,macos,2.0,114018.0,202.37276851499232,Non-touch
11,Apple,Ultrabook,13.3,0,Intel,Core i5,1.8,8,0,256.0,Flash Storage,Intel, HD Graphics 6000,macos,1.3,61736.0,127.67794013309688,Non-touch
12,Lenovo,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,1.9,22106.0,141.21199808219862,Non-touch
13,Asus,Ultrabook,14.0,0,Intel,Core i7,2.7,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,1.3,63563.0,157.3505121487356,Non-touch
14,MSI,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1050 Ti,windows,2.2,69211.0,141.21199808219862,Non-touch
15,Lenovo,Notebook,14.0,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.6,78854.0,157.3505121487356,Non-touch
16,Asus,Ultrabook,15.6,0,Intel,Core i7,1.8,16,1024,256.0,Hybrid,Nvidia, GeForce MX150,windows,1.5,67239.0,141.21199808219862,Non-touch
17,Dell,Workstation,15.6,0,Intel,Xeon E3-1505M,3.0,16,1024,256.0,Hybrid,Nvidia, Quadro M1200,windows,2.8,162770.0,202.37276851499232,Non-touch
18,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,16,0,512.0,SSD,Nvidia, GeForce GTX 1060,,2.4,74485.0,141.21199808219862,Non-touch
19,Dell,Notebook,15.6,1,Intel,Core i3,2.4,6,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.3,23390.0,100.45466986113651,Touchscreen
20,Dell,Ultrabook,13.3,1,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.2,103843.0,202.37276851499232,Touchscreen
21,Dell,Ultrabook,13.3,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,0.0,77203.0,165.6321180513006,Non-touch
22,Acer,Notebook,15.6,0,Intel,Core i7,2.8,8,0,1024.0,HDD,Nvidia, GeForce GTX 1050,linux,2.4,41505.0,141.21199808219862,Non-touch
23,Asus,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1050,windows,2.9,74965.0,127.33567457123111,Non-touch
24,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,500.0,HDD,Intel, HD Graphics 520,,2.1,18595.0,141.21199808219862,Non-touch
25,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,,2.2,29251.0,141.21199808219862,Non-touch
26,Dell,Ultrabook,13.3,1,Intel,Core i7,2.4,8,0,256.0,SSD,Intel, Iris Plus Graphics 640,windows,1.2,73473.0,202.37276851499232,Touchscreen
27,Huawei,Ultrabook,13.0,0,Intel,Core i7,2.7,8,0,512.0,SSD,Intel, HD Graphics 620,windows,1.1,79867.0,199.69207064108247,Non-touch
28,Lenovo,2 in 1 Convertible,13.3,1,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.4,74539.0,165.6321180513006,Touchscreen
29,Dell,Ultrabook,13.3,0,Intel,Core i7,1.8,8,0,256.0,SSD,AMD, Radeon 530,windows,1.4,49651.0,165.6321180513006,Non-touch
30,HP,Notebook,14.0,0,Intel,Core i5,1.6,4,0,500.0,HDD,Intel, UHD Graphics 620,windows,1.6,38468.0,111.93520355955211,Non-touch
31,Lenovo,Notebook,17.3,0,Intel,Core i5,2.5,8,0,1024.0,HDD,Nvidia, GeForce GTX 940MX,,2.8,31382.0,106.11306214269258,Non-touch
32,Dell,Ultrabook,13.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.2,86793.0,165.6321180513006,Non-touch
33,HP,Notebook,14.0,0,Intel,Core i7,1.8,8,0,256.0,SSD,Nvidia, GeForce 930MX,windows,1.6,54932.0,157.3505121487356,Non-touch
34,HP,Notebook,14.0,0,Intel,Core i7,1.8,8,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.6,57756.0,157.3505121487356,Non-touch
35,Dell,Ultrabook,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.6,61219.0,157.3505121487356,Non-touch
36,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,1024,256.0,Hybrid,Nvidia, GeForce 940MX,windows,2.2,60224.0,141.21199808219862,Non-touch
37,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1100.0,HDD,Nvidia, GeForce 940MX,,2.2,29251.0,100.45466986113651,Non-touch
38,Dell,2 in 1 Convertible,13.3,1,Intel,Core i7,1.8,16,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.6,68145.0,165.6321180513006,Touchscreen
39,Asus,Notebook,17.3,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Nvidia, GeForce 920MX,windows,2.0,30050.0,127.33567457123111,Non-touch
40,Asus,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,1.7,59567.0,141.21199808219862,Non-touch
41,Acer,Notebook,15.6,1,Intel,Core i3,2.4,6,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.1,25521.0,141.21199808219862,Touchscreen
42,MSI,Gaming,15.6,0,Intel,Core i7,2.8,16,2048,256.0,Hybrid,Nvidia, GeForce GTX 1070,windows,1.8,119427.0,141.21199808219862,Non-touch
43,Dell,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,AMD, Radeon 520,linux,2.2,36089.0,141.21199808219862,Non-touch
