"id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"ram";"secondar_storage";"primary_storage";"memory_type";"gpu_brand";"gpu_name";"OpSys";"weight";"Price"
1;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"0";"128";"SSD";"Intel";" Iris Plus Graphics 640";"macos";1.4;71378.6832
2;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"0";"128";"Flash Storage";"Intel";" HD Graphics 6000";"macos";1.3;47895.5232
3;"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.7;8;"0";"256";"SSD";"Nvidia";" GeForce MX150";"windows";1.4;59620.32
4;"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"N/A";1.9;30636.0
5;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"0";"512";"SSD";"AMD";" Radeon Pro 455";"macos";1.8;135195.336
6;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"0";"256";"SSD";"Intel";" Iris Plus Graphics 650";"macos";1.4;96095.808
7;"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;8;"0";"256";"SSD";"Intel";" HD Graphics 620";"windows";1.3;71395.2
8;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"0";"500";"HDD";"AMD";" Radeon R5";"windows";2.1;21312.0
9;"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;6;"0";"256";"SSD";"Nvidia";" GeForce 940MX";"windows";1.6;35111.52
10;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"0";"256";"Flash Storage";"Intel";" Iris Pro Graphics";"macos";2.0;114017.6016
11;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"0";"256";"Flash Storage";"Intel";" HD Graphics 6000";"macos";1.3;61735.536
