"id","Company","TypeName","Inches","resolution_width","resolution_height","touchscreen","cpu_brand","cpu_name","cpu_speed","ram","secondar_storage","primary_storage","memory_type","gpu_brand","gpu_name","OpSys","weight","Price"
1,"Apple","Ultrabook",13.3,2560,1600,0,"Intel","Core i5",2.3,8,"0","128","SSD","Intel"," Iris Plus Graphics 640","macos",1.4,71379.0
2,"Apple","Ultrabook",13.3,1440,900,0,"Intel","Core i5",1.8,8,"0","128","Flash Storage","Intel"," HD Graphics 6000","macos",1.3,47896.0
3,"HP","Ultrabook",13.3,1920,1080,0,"Intel","Core i7",2.7,8,"0","256","SSD","Nvidia"," GeForce MX150","windows",1.4,59620.0
4,"HP","Notebook",15.6,1920,1080,0,"Intel","Core i5",2.5,8,"0","256","SSD","Intel"," HD Graphics 620","N/A",1.9,30636.0
5,"Apple","Ultrabook",15.4,2880,1800,0,"Intel","Core i7",2.7,16,"0","512","SSD","AMD"," Radeon Pro 455","macos",1.8,135195.0
6,"Apple","Ultrabook",13.3,2560,1600,0,"Intel","Core i5",3.1,8,"0","256","SSD","Intel"," Iris Plus Graphics 650","macos",1.4,96096.0
7,"Microsoft","Ultrabook",13.5,2256,1504,1,"Intel","Core i5",2.5,8,"0","256","SSD","Intel"," HD Graphics 620","windows",1.3,71395.0
8,"Acer","Notebook",15.6,1366,768,0,"AMD","A9-Series 9420",3.0,4,"0","500","HDD","AMD"," Radeon R5","windows",2.1,21312.0
9,"HP","Notebook",14.0,1920,1080,0,"Intel","Core i5",2.5,6,"0","256","SSD","Nvidia"," GeForce 940MX","windows",1.6,35112.0
10,"Apple","Ultrabook",15.4,2880,1800,0,"Intel","Core i7",2.2,16,"0","256","Flash Storage","Intel"," Iris Pro Graphics","macos",2.0,114018.0
11,"Apple","Ultrabook",13.3,1440,900,0,"Intel","Core i5",1.8,8,"0","256","Flash Storage","Intel"," HD Graphics 6000","macos",1.3,61736.0
12,"Lenovo","Notebook",15.6,1920,1080,0,"Intel","Core i3",2.0,4,"0","1024","HDD","Intel"," HD Graphics 520","windows",1.9,22106.0
13,"Asus","Ultrabook",14.0,1920,1080,0,"Intel","Core i7",2.7,8,"0","256","SSD","Nvidia"," GeForce 940MX","windows",1.3,63563.0
14,"MSI","Gaming",15.6,1920,1080,0,"Intel","Core i7",2.8,16,"1024","256","Hybrid","Nvidia"," GeForce GTX 1050 Ti","windows",2.2,69211.0
